,sent_clean
746,eked out by apple sauce and mashed potatoes it was a sufficient dinner for the whole family indeed as mrs cratchit said with great delight surveying one small atom of a bone upon the dish they had not ate it all at last
747,yet every one had had enough and the youngest cratchits in particular were steeped in sage and onion to the eyebrows
748,but now the plates being changed by miss belinda mrs cratchit left the room alone too nervous to bear witnesses to take the pudding up and bring it in
749,suppose it should not be done enough
750,suppose it should break in turning out
751,suppose somebody should have got over the wall of the back yard and stolen it while they were merry with the goose a supposition at which the two young cratchits became livid
752,all sorts of horrors were supposed
753,hallo
754,a great deal of steam
755,the pudding was out of the copper
756,a smell like a washing day
757,that was the cloth
758,a smell like an eating house and a pastrycook own next door to each other with a laundress own next door to that
759,that was the pudding
760,in half a minute mrs cratchit entered flushed but smiling proudly with the pudding like a speckled cannon ball so hard and firm blazing in half of half a quartern of ignited brandy and bedight with christmas holly stuck into the top
761,oh a wonderful pudding
762,bob cratchit said and calmly too that he regarded it as the greatest success achieved by mrs cratchit since their marriage
763,mrs cratchit said that now the weight was off her mind she would confess she had had her doubts about the quantity of flour
764,everybody had something to say about it but nobody said or thought it was at all a small pudding for a large family
765,it would have been flat heresy to do so
766,any cratchit would have blushed to hint at such a thing
767,at last the dinner was all done the cloth was cleared the hearth swept and the fire made up
768,the compound in the jug being tasted and considered perfect apples and oranges were put upon the table and a shovel full of chestnuts on the fire
769,then all the cratchit family drew round the hearth in what bob cratchit called a circle meaning half a one and at bob cratchit own elbow stood the family display of glass
770,two tumblers and a custard cup without a handle
771,these held the hot stuff from the jug however as well as golden goblets would have done and bob served it out with beaming looks while the chestnuts on the fire sputtered and cracked noisily
772,then bob proposed
773,a merry christmas to us all my dears god bless us
774,which all the family re echoed
775,god bless us every one said tiny tim the last of all
776,he sat very close to his father own side upon his little stool
777,bob held his withered little hand in his as if he loved the child and wished to keep him by his side and dreaded that he might be taken from him
778,spirit said scrooge with an interest he had never felt before tell me if tiny tim will live
779,i see a vacant seat replied the ghost in the poor chimney corner and a crutch without an owner carefully preserved if these shadows remain unaltered by the future the child will die
780,no no said scrooge
781,oh no kind spirit say he will be spared
782,if these shadows remain unaltered by the future none other of my race returned the ghost will find him here what then if he be like to die he had better do it and decrease the surplus population
783,scrooge hung his head to hear his own words quoted by the spirit and was overcome with penitence and grief
784,man said the ghost if man you be in heart not adamant forbear that wicked cannot until you have discovered what the surplus is and where it is will you decide what men shall live what men shall die it may be that in the sight of heaven you are more worthless and less fit to live than millions like this poor man own child oh god to hear the insect on the leaf pronouncing on the too much life among his hungry brothers in the dust
785,scrooge bent before the ghost own rebuke and trembling cast his eyes upon the ground
786,but he raised them speedily on hearing his own name
787,mr scrooge said bob i give you mr scrooge the founder of the feast
788,the founder of the feast indeed cried mrs cratchit reddening
789,i wish i had him here I would give him a piece of my mind to feast upon and i hope he would have a good appetite for it
790,my dear said bob the children christmas day
791,it should be christmas day i am sure said she on which one drinks the health of such an odious stingy hard unfeeling man as mr scrooge you know he is robert nobody knows it better than you do poor fellow
792,my dear was bob own mild answer christmas day
793,i drink his health for your sake and the day own said mrs cratchit not for his long life to him a merry christmas and a happy new year he be very merry and very happy i have no doubt
794,the children drank the toast after her
795,it was the first of their proceedings which had no heartiness
796,tiny tim drank it last of all but he did not care twopence for it
797,scrooge was the ogre of the family
798,the mention of his name cast a dark shadow on the party which was not dispelled for full five minutes
799,after it had passed away they were ten times merrier than before from the mere relief of scrooge the baleful being done with
800,bob cratchit told them how he had a situation in his eye for master peter which would bring in if obtained full five and sixpence weekly
801,the two young cratchits laughed tremendously at the idea of peter own being a man of business and peter himself looked thoughtfully at the fire from between his collars as if he were deliberating what particular investments he should favour when he came into the receipt of that bewildering income
802,martha who was a poor apprentice at a milliner own then told them what kind of work she had to do and how many hours she worked at a stretch and how she meant to lie abed to morrow morning for a good long rest to morrow being a holiday she passed at home
803,also how she had seen a countess and a lord some days before and how the lord was much about as tall as peter at which peter pulled up his collars so high that you could not have seen his head if you had been there
804,all this time the chestnuts and the jug went round and round and by and bye they had a song about a lost child travelling in the snow from tiny tim who had a plaintive little voice and sang it very well indeed
805,there was nothing of high mark in this
806,they were not a handsome family they were not well dressed their shoes were far from being water proof their clothes were scanty and peter might have known and very likely did the inside of a pawnbroker own
807,but they were happy grateful pleased with one another and contented with the time and when they faded and looked happier yet in the bright sprinklings of the spirit own torch at parting scrooge had his eye upon them and especially on tiny tim until the last
808,by this time it was getting dark and snowing pretty heavily and as scrooge and the spirit went along the streets the brightness of the roaring fires in kitchens parlours and all sorts of rooms was wonderful
809,here the flickering of the blaze showed preparations for a cosy dinner with hot plates baking through and through before the fire and deep red curtains ready to be drawn to shut out cold and darkness
810,there all the children of the house were running out into the snow to meet their married sisters brothers cousins uncles aunts and be the first to greet them
811,here again were shadows on the window blind of guests assembling and there a group of handsome girls all hooded and fur booted and all chattering at once tripped lightly off to some near neighbour own house where woe upon the single man who saw them enter artful witches well they knew it in a glow
812,but if you had judged from the numbers of people on their way to friendly gatherings you might have thought that no one was at home to give them welcome when they got there instead of every house expecting company and piling up its fires half chimney high
813,blessings on it how the ghost exulted
814,how it bared its breadth of breast and opened its capacious palm and floated on outpouring with a generous hand its bright and harmless mirth on everything within its reach
815,the very lamplighter who ran on before dotting the dusky street with specks of light and who was dressed to spend the evening somewhere laughed out loudly as the spirit passed though little kenned the lamplighter that he had any company but christmas
816,and now without a word of warning from the ghost they stood upon a bleak and desert moor where monstrous masses of rude stone were cast about as though it were the burial place of giants and water spread itself wheresoever it listed or would have done so but for the frost that held it prisoner and nothing grew but moss and furze and coarse rank grass
817,down in the west the setting sun had left a streak of fiery red which glared upon the desolation for an instant like a sullen eye and frowning lower lower lower yet was lost in the thick gloom of darkest night
818,what place is this asked scrooge
819,a place where miners live who labour in the bowels of the earth returned the spirit
820,but they know me see
821,a light shone from the window of a hut and swiftly they advanced towards it
822,passing through the wall of mud and stone they found a cheerful company assembled round a glowing fire
823,an old old man and woman with their children and their children own children and another generation beyond that all decked out gaily in their holiday attire
824,the old man in a voice that seldom rose above the howling of the wind upon the barren waste was singing them a christmas song it had been a very old song when he was a boy and from time to time they all joined in the chorus
825,so surely as they raised their voices the old man got quite blithe and loud and so surely as they stopped his vigour sank again
826,the spirit did not tarry here but bade scrooge hold his robe and passing on above the moor sped whither
827,not to sea
828,to sea
829,to scrooge own horror looking back he saw the last of the land a frightful range of rocks behind them and his ears were deafened by the thundering of water as it rolled and roared and raged among the dreadful caverns it had worn and fiercely tried to undermine the earth
830,built upon a dismal reef of sunken rocks some league or so from shore on which the waters chafed and dashed the wild year through there stood a solitary lighthouse
831,great heaps of sea weed clung to its base and storm birds born of the wind one might suppose as sea weed of the water rose and fell about it like the waves they skimmed
832,but even here two men who watched the light had made a fire that through the loophole in the thick stone wall she would out a ray of brightness on the awful sea
833,joining their horny hands over the rough table at which they sat they wished each other merry christmas in their can of grog and one of them the elder too with his face all damaged and scarred with hard weather as the figure head of an old ship might be struck up a sturdy song that was like a gale in itself
834,again the ghost sped on above the black and heaving sea on on until being far away as he told scrooge from any shore they lighted on a ship
835,they stood beside the helmsman at the wheel the look out in the bow the officers who had the watch dark ghostly figures in their several stations but every man among them hummed a christmas tune or had a christmas thought or spoke below his breath to his companion of some bygone christmas day with homeward hopes belonging to it
836,and every man on board waking or sleeping good or bad had had a kinder word for another on that day than on any day in the year and had shared to some extent in its festivities and had remembered those he cared for at a distance and had known that they delighted to remember him
837,it was a great surprise to scrooge while listening to the moaning of the wind and thinking what a solemn thing it was to move on through the lonely darkness over an unknown abyss whose depths were secrets as profound as death it was a great surprise to scrooge while thus engaged to hear a hearty laugh
838,it was a much greater surprise to scrooge to recognise it as his own nephew own and to find himself in a bright dry gleaming room with the spirit standing smiling by his side and looking at that same nephew with approving affability
839,ha ha laughed scrooge own nephew
840,ha ha ha
841,if you should happen by any unlikely chance to know a man more blest in a laugh than scrooge own nephew all i can say is i should like to know him too
842,introduce him to me and i cultivate his acquaintance
843,it is a fair even handed noble adjustment of things that while there is infection in disease and sorrow there is nothing in the world so irresistibly contagious as laughter and good humour
844,when scrooge own nephew laughed in this way holding his sides rolling his head and twisting his face into the most extravagant contortions scrooge own niece by marriage laughed as heartily as he
845,and their assembled friends being not a bit behindhand roared out lustily
846,ha ha ha ha ha ha
847,he said that christmas was a humbug as i live cried scrooge own nephew
848,he believed it too
849,more shame for him fred said scrooge own niece indignantly
850,bless those women they never do anything by halves
851,they are always in earnest
852,she was very pretty exceedingly pretty
853,with a dimpled surprised looking capital face a ripe little mouth that seemed made to be kissed as no doubt it was all kinds of good little dots about her chin that melted into one another when she laughed and the sunniest pair of eyes you ever saw in any little creature own head
854,altogether she was what you would have called provoking you know but satisfactory too
855,oh perfectly satisfactory
856,he is a comical old fellow said scrooge own nephew that is the truth and not so pleasant as he might be however his offences carry their own punishment and i have nothing to say against him
857,i sure he is very rich fred hinted scrooge own niece
858,at least you always tell me so
859,what of that my dear said scrooge own nephew
860,his wealth is of no use to him he do not do any good with it he do not make himself comfortable with it he has not the satisfaction of thinking ha ha ha that he is ever going to benefit us with it
861,i have no patience with him observed scrooge own niece
862,scrooge own niece own sisters and all the other ladies expressed the same opinion
863,oh i have said scrooge own nephew
864,i am sorry for him i could not be angry with him if i tried who suffers by his ill whims himself always here he takes it into his head to dislike us and he will not come and dine with us what is the consequence he do not lose much of a dinner
865,indeed i think he loses a very good dinner interrupted scrooge own niece
866,everybody else said the same and they must be allowed to have been competent judges because they had just had dinner and with the dessert upon the table were clustered round the fire by lamplight
867,well i very glad to hear it said scrooge own nephew because i have not great faith in these young housekeepers what do you say topper
868,topper had clearly got his eye upon one of scrooge own niece own sisters for he answered that a bachelor was a wretched outcast who had no right to express an opinion on the subject
869,whereat scrooge own niece own sister the plump one with the lace tucker not the one with the roses blushed
870,do go on fred said scrooge own niece clapping her hands
871,he never finishes what he begins to say he is such a ridiculous fellow
872,scrooge own nephew revelled in another laugh and as it was impossible to keep the infection off though the plump sister tried hard to do it with aromatic vinegar his example was unanimously followed
873,i was only going to say said scrooge own nephew that the consequence of his taking a dislike to us and not making merry with us is as i think that he loses some pleasant moments which could do him no harm i am sure he loses pleasanter companions than he can find in his own thoughts either in his mouldy old office or his dusty chambers i mean to give him the same chance every year whether he likes it or not for i pity him he may rail at christmas till he dies but he cannot help thinking better of it i defy him if he finds me going there in good temper year after year and saying uncle scrooge how are you if it only puts him in the vein to leave his poor clerk fifty pounds that is something and i think i shook him yesterday
874,it was their turn to laugh now at the notion of his shaking scrooge
875,but being thoroughly good natured and not much caring what they laughed at so that they laughed at any rate he encouraged them in their merriment and passed the bottle joyously
876,after tea they had some music
877,for they were a musical family and knew what they were about when they sung a glee or catch i can assure you especially topper who could growl away in the bass like a good one and never swell the large veins in his forehead or get red in the face over it
878,scrooge own niece played well upon the harp and played among other tunes a simple little air a mere nothing you might learn to whistle it in two minutes which had been familiar to the child who fetched scrooge from the boarding school as he had been reminded by the ghost of christmas past
879,when this strain of music sounded all the things that ghost had shown him came upon his mind he softened more and more and thought that if he could have listened to it often years ago he might have cultivated the kindnesses of life for his own happiness with his own hands without resorting to the sexton own spade that buried jacob marley
880,but they did not devote the whole evening to music
881,after a while they played at forfeits for it is good to be children sometimes and never better than at christmas when its mighty founder was a child himself
882,stop
883,there was first a game at blind man own buff
884,of course there was
885,and i no more believe topper was really blind than i believe he had eyes in his boots
886,my opinion is that it was a done thing between him and scrooge own nephew and that the ghost of christmas present knew it
887,the way he went after that plump sister in the lace tucker was an outrage on the credulity of human nature
888,knocking down the fire irons tumbling over the chairs bumping against the piano smothering himself among the curtains wherever she went there went he
889,he always knew where the plump sister was
890,he would not catch anybody else
891,if you had fallen up against him as some of them did on purpose he would have made a feint of endeavouring to seize you which would have been an affront to your understanding and would instantly have sidled off in the direction of the plump sister
892,she often cried out that it was not fair and it really was not
893,but when at last he caught her when in spite of all her silken rustlings and her rapid flutterings past him he got her into a corner whence there was no escape then his conduct was the most execrable
894,for his pretending not to know her his pretending that it was necessary to touch her head dress and further to assure himself of her identity by pressing a certain ring upon her finger and a certain chain about her neck was vile monstrous
895,no doubt she told him her opinion of it when another blind man being in office they were so very confidential together behind the curtains
896,scrooge own niece was not one of the blind man own buff party but was made comfortable with a large chair and a footstool in a snug corner where the ghost and scrooge were close behind her
897,but she joined in the forfeits and loved her love to admiration with all the letters of the alphabet
898,likewise at the game of how when and where she was very great and to the secret joy of scrooge own nephew beat her sisters hollow though they were sharp girls too as topper could have told you
899,there might have been twenty people there young and old but they all played and so did scrooge for wholly forgetting in the interest he had in what was going on that his voice made no sound in their ears he sometimes came out with his guess quite loud and very often guessed quite right too for the sharpest needle best whitechapel warranted not to cut in the eye was not sharper than scrooge blunt as he took it in his head to be
900,the ghost was greatly pleased to find him in this mood and looked upon him with such favour that he begged like a boy to be allowed to stay until the guests departed
901,but this the spirit said could not be done
902,here is a new game said scrooge
903,one half hour spirit only one
904,it was a game called yes and no where scrooge own nephew had to think of something and the rest must find out what he only answering to their questions yes or no as the case was
905,the brisk fire of questioning to which he was exposed elicited from him that he was thinking of an animal a live animal rather a disagreeable animal a savage animal an animal that growled and grunted sometimes and talked sometimes and lived in london and walked about the streets and was not made a show of and was not led by anybody and did not live in a menagerie and was never killed in a market and was not a horse or an ass or a cow or a bull or a tiger or a dog or a pig or a cat or a bear
906,at every fresh question that was put to him this nephew burst into a fresh roar of laughter and was so inexpressibly tickled that he was obliged to get up off the sofa and stamp
907,at last the plump sister falling into a similar state cried out
908,i have found it out i know what it is fred i know what it is
909,what is it cried fred
910,it is your uncle scro o o o oge
911,which it certainly was
912,admiration was the universal sentiment though some objected that the reply to is it a bear ought to have been yes inasmuch as an answer in the negative was sufficient to have diverted their thoughts from mr scrooge supposing they had ever had any tendency that way
913,he has given us plenty of merriment i am sure said fred and it would be ungrateful not to drink his health here is a glass of mulled wine ready to our hand at the moment and i say uncle scrooge
914,well uncle scrooge they cried
915,a merry christmas and a happy new year to the old man whatever he is said scrooge own nephew
916,he would not take it from me but may he have it nevertheless uncle scrooge
917,uncle scrooge had imperceptibly become so gay and light of heart that he would have pledged the unconscious company in return and thanked them in an inaudible speech if the ghost had given him time
918,but the whole scene passed off in the breath of the last word spoken by his nephew and he and the spirit were again upon their travels
919,much they saw and far they went and many homes they visited but always with a happy end
920,the spirit stood beside sick beds and they were cheerful on foreign lands and they were close at home by struggling men and they were patient in their greater hope by poverty and it was rich
921,in almshouse hospital and jail in misery own every refuge where vain man in his little brief authority had not made fast the door and barred the spirit out he left his blessing and taught scrooge his precepts
922,it was a long night if it were only a night but scrooge had his doubts of this because the christmas holidays appeared to be condensed into the space of time they passed together
923,it was strange too that while scrooge remained unaltered in his outward form the ghost grew older clearly older
924,scrooge had observed this change but never spoke of it until they left a children own twelfth night party when looking at the spirit as they stood together in an open place he noticed that its hair was grey
925,are spirits lives so short asked scrooge
926,my life upon this globe is very brief replied the ghost
927,it ends to night
928,to night cried scrooge
929,to night at midnight hark the time is drawing near
930,the chimes were ringing the three quarters past eleven at that moment
931,forgive me if i am not justified in what i ask said scrooge looking intently at the spirit own robe but i see something strange and not belonging to yourself protruding from your skirts is it a foot or a claw
932,it might be a claw for the flesh there is upon it was the spirit own sorrowful reply
933,look here
934,from the foldings of its robe it brought two children wretched abject frightful hideous miserable
935,they knelt down at its feet and clung upon the outside of its garment
936,oh man look here look look down here exclaimed the ghost
937,they were a boy and girl
938,yellow meagre ragged scowling wolfish but prostrate too in their humility
939,where graceful youth should have filled their features out and touched them with its freshest tints a stale and shrivelled hand like that of age had pinched and twisted them and pulled them into shreds
940,where angels might have sat enthroned devils lurked and glared out menacing
941,no change no degradation no perversion of humanity in any grade through all the mysteries of wonderful creation has monsters half so horrible and dread
942,scrooge started back appalled
943,having them shown to him in this way he tried to say they were fine children but the words choked themselves rather than be parties to a lie of such enormous magnitude
944,spirit are they yours
945,scrooge could say no more
946,they are man own said the spirit looking down upon them
947,and they cling to me appealing from their fathers this boy is ignorance this girl is want beware them both and all of their degree but most of all beware this boy for on his brow i see that written which is doom unless the writing be erased deny it cried the spirit stretching out its hand towards the city
948,slander those who tell it ye admit it for your factious purposes and make it worse and bide the end
949,have they no refuge or resource cried scrooge
950,are there no prisons said the spirit turning on him for the last time with his own words
951,are there no workhouses
952,the bell struck twelve
953,scrooge looked about him for the ghost and saw it not
954,as the last stroke ceased to vibrate he remembered the prediction of old jacob marley and lifting up his eyes beheld a solemn phantom draped and hooded coming like a mist along the ground towards him
955,the last of the spirits
956,the phantom slowly gravely silently approached
957,when it came near him scrooge bent down upon his knee for in the very air through which this spirit moved it seemed to scatter gloom and mystery
958,it was shrouded in a deep black garment which concealed its head its face its form and left nothing of it visible save one outstretched hand
959,but for this it would have been difficult to detach its figure from the night and separate it from the darkness by which it was surrounded
960,he felt that it was tall and stately when it came beside him and that its mysterious presence filled him with a solemn dread
961,he knew no more for the spirit neither spoke nor moved
962,i am in the presence of the ghost of christmas yet to come said scrooge
963,the spirit answered not but pointed onward with its hand
964,you are about to show me shadows of the things that have not happened but will happen in the time before us scrooge pursued
965,is that so spirit
966,the upper portion of the garment was contracted for an instant in its folds as if the spirit had inclined its head
967,that was the only answer he received
968,although well used to ghostly company by this time scrooge feared the silent shape so much that his legs trembled beneath him and he found that he could hardly stand when he prepared to follow it
969,the spirit paused a moment as observing his condition and giving him time to recover
970,but scrooge was all the worse for this
971,it thrilled him with a vague uncertain horror to know that behind the dusky shroud there were ghostly eyes intently fixed upon him while he though he stretched his own to the utmost could see nothing but a spectral hand and one great heap of black
972,ghost of the future he exclaimed i fear you more than any spectre i have seen but as i know your purpose is to do me good and as i hope to live to be another man from what i was i am prepared to bear you company and do it with a thankful heart will you not speak to me
973,it gave him no reply
974,the hand was pointed straight before them
975,lead on said scrooge
976,lead on the night is waning fast and it is precious time to me i know lead on spirit
977,the phantom moved away as it had come towards him
978,scrooge followed in the shadow of its dress which bore him up he thought and carried him along
979,they scarcely seemed to enter the city for the city rather seemed to spring up about them and encompass them of its own act
980,but there they were in the heart of it on change amongst the merchants who hurried up and down and chinked the money in their pockets and conversed in groups and looked at their watches and trifled thoughtfully with their great gold seals and so forth as scrooge had seen them often
981,the spirit stopped beside one little knot of business men
982,observing that the hand was pointed to them scrooge advanced to listen to their talk
983,no said a great fat man with a monstrous chin i do not know much about it either way i only know he is dead
984,when did he die inquired another
985,last night i believe
986,why what was the matter with him asked a third taking a vast quantity of snuff out of a very large snuff box
987,i thought he would never die
988,god knows said the first with a yawn
989,what has he done with his money asked a red faced gentleman with a pendulous excrescence on the end of his nose that shook like the gills of a turkey cock
990,i have not heard said the man with the large chin yawning again
991,left it to his company perhaps he has not left it to me that is all i know
992,this pleasantry was received with a general laugh
993,it is likely to be a very cheap funeral said the same speaker for upon my life i do not know of anybody to go to it suppose we make up a party and volunteer
994,i do not mind going if a lunch is provided observed the gentleman with the excrescence on his nose
995,but i must be fed if i make one
996,another laugh
997,well i am the most disinterested among you after all said the first speaker for i never wear black gloves and i never eat lunch but i offer to go if anybody else will when i come to think of it i not at all sure that i was not his most particular friend for we used to stop and speak whenever we met bye bye
998,speakers and listeners strolled away and mixed with other groups
999,scrooge knew the men and looked towards the spirit for an explanation
1000,the phantom glided on into a street
1001,its finger pointed to two persons meeting
1002,scrooge listened again thinking that the explanation might lie here
1003,he knew these men also perfectly
1004,they were men of business very wealthy and of great importance
1005,he had made a point always of standing well in their esteem in a business point of view that is strictly in a business point of view
1006,how are you said one
1007,how are you returned the other
1008,well said the first
1009,old scratch has got his own at last hey
1010,so i am told returned the second
1011,cold is not it
1012,seasonable for christmas time you are not a skater i suppose
1013,no no something else to think of good morning
1014,not another word
1015,that was their meeting their conversation and their parting
1016,scrooge was at first inclined to be surprised that the spirit should attach importance to conversations apparently so trivial but feeling assured that they must have some hidden purpose he set himself to consider what it was likely to be
1017,they could scarcely be supposed to have any bearing on the death of jacob his old partner for that was past and this ghost own province was the future
1018,nor could he think of any one immediately connected with himself to whom he could apply them
1019,but nothing doubting that to whomsoever they applied they had some latent moral for his own improvement he resolved to treasure up every word he heard and everything he saw and especially to observe the shadow of himself when it appeared
1020,for he had an expectation that the conduct of his future self would give him the clue he missed and would render the solution of these riddles easy
1021,he looked about in that very place for his own image but another man stood in his accustomed corner and though the clock pointed to his usual time of day for being there he saw no likeness of himself among the multitudes that poured in through the porch
1022,it gave him little surprise however for he had been revolving in his mind a change of life and thought and hoped he saw his new born resolutions carried out in this
1023,quiet and dark beside him stood the phantom with its outstretched hand
1024,when he roused himself from his thoughtful quest he fancied from the turn of the hand and its situation in reference to himself that the unseen eyes were looking at him keenly
1025,it made him shudder and feel very cold
1026,they left the busy scene and went into an obscure part of the town where scrooge had never penetrated before although he recognised its situation and its bad repute
1027,the ways were foul and narrow the shops and houses wretched the people half naked drunken slipshod ugly
1028,alleys and archways like so many cesspools disgorged their offences of smell and dirt and life upon the straggling streets and the whole quarter reeked with crime with filth and misery
1029,far in this den of infamous resort there was a low browed beetling shop below a pent house roof where iron old rags bottles bones and greasy offal were bought
1030,upon the floor within were piled up heaps of rusty keys nails chains hinges files scales weights and refuse iron of all kinds
1031,secrets that few would like to scrutinise were bred and hidden in mountains of unseemly rags masses of corrupted fat and sepulchres of bones
1032,sitting in among the wares he dealt in by a charcoal stove made of old bricks was a grey haired rascal nearly seventy years of age who had screened himself from the cold air without by a frousy curtaining of miscellaneous tatters hung upon a line and smoked his pipe in all the luxury of calm retirement
1033,scrooge and the phantom came into the presence of this man just as a woman with a heavy bundle slunk into the shop
1034,but she had scarcely entered when another woman similarly laden came in too and she was closely followed by a man in faded black who was no less startled by the sight of them than they had been upon the recognition of each other
1035,after a short period of blank astonishment in which the old man with the pipe had joined them they all three burst into a laugh
1036,let the charwoman alone to be the first cried she who had entered first
1037,let the laundress alone to be the second and let the undertaker own man alone to be the third look here old joe here is a chance if we have not all three met here without meaning it
1038,you could not have met in a better place said old joe removing his pipe from his mouth
1039,come into the parlour you were made free of it long ago you know and the other two ant strangers stop till i shut the door of the shop ah how it skreeks there ant such a rusty bit of metal in the place as its own hinges i believe and i sure there is no such old bones here as mine ha ha we are all suitable to our calling we are well matched come into the parlour come into the parlour
1040,the parlour was the space behind the screen of rags
1041,the old man raked the fire together with an old stair rod and having trimmed his smoky lamp for it was night with the stem of his pipe put it in his mouth again
1042,while he did this the woman who had already spoken threw her bundle on the floor and sat down in a flaunting manner on a stool crossing her elbows on her knees and looking with a bold defiance at the other two
1043,what odds then what odds mrs dilber said the woman
1044,every person has a right to take care of themselves he always did
1045,that is true indeed said the laundress
1046,no man more so
1047,why then do not stand staring as if you was afraid woman who is the wiser we are not going to pick holes in each other own coats i suppose
1048,no indeed said mrs dilber and the man together
1049,we should hope not
1050,very well then cried the woman
1051,that is enough who is the worse for the loss of a few things like these not a dead man i suppose
1052,no indeed said mrs dilber laughing
1053,if he wanted to keep them after he was dead a wicked old screw pursued the woman why was not he natural in his lifetime if he had been he would have had somebody to look after him when he was struck with death instead of lying gasping out his last there alone by himself
1054,it is the truest word that ever was spoke said mrs dilber
1055,it is a judgment on him
1056,i wish it was a little heavier judgment replied the woman and it should have been you may depend upon it if i could have laid my hands on anything else open that bundle old joe and let me know the value of it speak out plain i not afraid to be the first nor afraid for them to see it we know pretty well that we were helping ourselves before we met here i believe it is no sin open the bundle joe
1057,but the gallantry of her friends would not allow of this and the man in faded black mounting the breach first produced his plunder
1058,it was not extensive
1059,a seal or two a pencil case a pair of sleeve buttons and a brooch of no great value were all
1060,they were severally examined and appraised by old joe who chalked the sums he was disposed to give for each upon the wall and added them up into a total when he found there was nothing more to come
1061,that is your account said joe and i would not give another sixpence if i was to be boiled for not doing it who is next
1062,mrs dilber was next
1063,sheets and towels a little wearing apparel two old fashioned silver teaspoons a pair of sugar tongs and a few boots
1064,her account was stated on the wall in the same manner
1065,i always give too much to ladies it is a weakness of mine and that is the way i ruin myself said old joe
1066,that is your account if you asked me for another penny and made it an open question I would repent of being so liberal and knock off half a crown
1067,and now undo my bundle joe said the first woman
1068,joe went down on his knees for the greater convenience of opening it and having unfastened a great many knots dragged out a large and heavy roll of some dark stuff
1069,what do you call this said joe
1070,bed curtains
1071,ah returned the woman laughing and leaning forward on her crossed arms
1072,bed curtains
1073,you do not mean to say you took them down rings and all with him lying there said joe
1074,yes i do replied the woman
1075,why not
1076,you were born to make your fortune said joe and you certainly do it
1077,i certainly shall not hold my hand when i can get anything in it by reaching it out for the sake of such a man as he was i promise you joe returned the woman coolly
1078,do not drop that oil upon the blankets now
1079,his blankets asked joe
1080,whose else own do you think replied the woman
1081,he is not likely to take cold without them i dare say
1082,i hope he did not die of anything catching eh said old joe stopping in his work and looking up
1083,do not you be afraid of that returned the woman
1084,i ant so fond of his company that I would loiter about him for such things if he did ah you may look through that shirt till your eyes ache but you will not find a hole in it nor a threadbare place it is the best he had and a fine one too they would have wasted it if it had not been for me
1085,what do you call wasting of it asked old joe
1086,putting it on him to be buried in to be sure replied the woman with a laugh
1087,somebody was fool enough to do it but i took it off again if calico ant good enough for such a purpose it is not good enough for anything it is quite as becoming to the body he cannot look uglier than he did in that one
1088,scrooge listened to this dialogue in horror
1089,as they sat grouped about their spoil in the scanty light afforded by the old man own lamp he viewed them with a detestation and disgust which could hardly have been greater though they had been obscene demons marketing the corpse itself
1090,ha ha laughed the same woman when old joe producing a flannel bag with money in it told out their several gains upon the ground
1091,this is the end of it you see he frightened every one away from him when he was alive to profit us when he was dead ha ha ha
1092,spirit said scrooge shuddering from head to foot
1093,i see i see the case of this unhappy man might be my own my life tends that way now merciful heaven what is this
1094,he recoiled in terror for the scene had changed and now he almost touched a bed a bare uncurtained bed on which beneath a ragged sheet there lay a something covered up which though it was dumb announced itself in awful language
1095,the room was very dark too dark to be observed with any accuracy though scrooge glanced round it in obedience to a secret impulse anxious to know what kind of room it was
1096,a pale light rising in the outer air fell straight upon the bed and on it plundered and bereft unwatched unwept uncared for was the body of this man
1097,scrooge glanced towards the phantom
1098,its steady hand was pointed to the head
1099,the cover was so carelessly adjusted that the slightest raising of it the motion of a finger upon scrooge own part would have disclosed the face
1100,he thought of it felt how easy it would be to do and longed to do it but had no more power to withdraw the veil than to dismiss the spectre at his side
1101,oh cold cold rigid dreadful death set up thine altar here and dress it with such terrors as thou hast at thy command for this is thy dominion
1102,but of the loved revered and honoured head thou canst not turn one hair to thy dread purposes or make one feature odious
1103,it is not that the hand is heavy and will fall down when released it is not that the heart and pulse are still but that the hand was open generous and true the heart brave warm and tender and the pulse a man own
1104,strike shadow strike
1105,and see his good deeds springing from the wound to sow the world with life immortal
1106,no voice pronounced these words in scrooge own ears and yet he heard them when he looked upon the bed
1107,he thought if this man could be raised up now what would be his foremost thoughts
1108,avarice hard dealing griping cares
1109,they have brought him to a rich end truly
1110,he lay in the dark empty house with not a man a woman or a child to say that he was kind to me in this or that and for the memory of one kind word i will be kind to him
1111,a cat was tearing at the door and there was a sound of gnawing rats beneath the hearth stone
1112,what they wanted in the room of death and why they were so restless and disturbed scrooge did not dare to think
1113,spirit he said this is a fearful place in leaving it i shall not leave its lesson trust me let us go
1114,still the ghost pointed with an unmoved finger to the head
1115,i understand you scrooge returned and i would do it if i could but i have not the power spirit i have not the power
1116,again it seemed to look upon him
1117,if there is any person in the town who feels emotion caused by this man own death said scrooge quite agonised show that person to me spirit i beseech you
1118,the phantom spread its dark robe before him for a moment like a wing and withdrawing it revealed a room by daylight where a mother and her children were
1119,she was expecting some one and with anxious eagerness for she walked up and down the room started at every sound looked out from the window glanced at the clock tried but in vain to work with her needle and could hardly bear the voices of the children in their play
1120,at length the long expected knock was heard
1121,she hurried to the door and met her husband a man whose face was careworn and depressed though he was young
